miki_comfort_16-03,yuval_comfort_20-03-23,yuval_cool_20-03-23,yuval_cold_20-03-23,comfort_yuval_12_01_21C,miki_coldest_17.5c,miki_comfort_20c,cold_yuval_12_01_18C,miki_colder_1m,colder_yuval_12_01_16C
08_39_28_2,2023-03-20_18-21-33_2,2023-03-20_18-42-10_2,2023-03-20_18-55-26_2,,18_01_2023-11_55_59_0,,,18_01_2023-11_52_32_0,
08_39_28_3,2023-03-20_18-21-33_3,2023-03-20_18-42-10_3,2023-03-20_18-55-26_3,,18_01_2023-11_55_59_1,,,18_01_2023-11_52_32_1,
08_39_28_4,2023-03-20_18-21-33_4,2023-03-20_18-42-10_4,2023-03-20_18-55-26_4,,18_01_2023-11_55_59_2,,,18_01_2023-11_52_32_2,
08_39_28_5,2023-03-20_18-21-33_5,2023-03-20_18-42-10_5,2023-03-20_18-55-26_5,,18_01_2023-11_55_59_3,,,18_01_2023-11_52_32_3,
08_39_28_6,2023-03-20_18-21-33_6,2023-03-20_18-42-10_6,2023-03-20_18-55-26_6,,18_01_2023-11_55_59_4,,,18_01_2023-11_52_32_4,
08_39_28_7,2023-03-20_18-21-33_7,2023-03-20_18-42-10_7,2023-03-20_18-55-26_7,,18_01_2023-11_55_59_5,,,18_01_2023-11_52_32_5,
08_39_28_8,2023-03-20_18-21-33_8,2023-03-20_18-42-10_8,2023-03-20_18-55-26_8,,18_01_2023-11_55_59_6,,,18_01_2023-11_52_32_6,
08_39_29_0,2023-03-20_18-21-34_0,2023-03-20_18-42-11_0,2023-03-20_18-55-27_0,,18_01_2023-11_55_59_7,,,18_01_2023-11_52_32_7,
08_39_29_1,2023-03-20_18-21-34_1,2023-03-20_18-42-11_1,2023-03-20_18-55-27_1,,18_01_2023-11_55_59_8,,,18_01_2023-11_52_32_8,
08_39_29_2,2023-03-20_18-21-34_2,2023-03-20_18-42-11_2,2023-03-20_18-55-27_2,,18_01_2023-11_55_59_9,,,18_01_2023-11_52_32_9,
08_39_29_3,2023-03-20_18-21-34_3,2023-03-20_18-42-11_3,2023-03-20_18-55-27_3,,18_01_2023-11_56_02_0,,,18_01_2023-11_52_35_0,
08_39_29_4,2023-03-20_18-21-34_4,2023-03-20_18-42-11_4,2023-03-20_18-55-27_4,,18_01_2023-11_56_02_1,,,18_01_2023-11_52_35_1,
08_39_29_5,2023-03-20_18-21-34_5,2023-03-20_18-42-11_5,2023-03-20_18-55-27_5,,18_01_2023-11_56_02_2,,,18_01_2023-11_52_35_2,
08_39_29_6,2023-03-20_18-21-34_6,2023-03-20_18-42-11_6,2023-03-20_18-55-27_6,,18_01_2023-11_56_02_3,,,18_01_2023-11_52_35_3,
08_39_29_7,2023-03-20_18-21-34_7,2023-03-20_18-42-11_7,2023-03-20_18-55-27_7,,18_01_2023-11_56_02_4,,,18_01_2023-11_52_35_4,
08_39_29_8,2023-03-20_18-21-34_8,2023-03-20_18-42-11_8,2023-03-20_18-55-27_8,,18_01_2023-11_56_02_5,,,18_01_2023-11_52_35_5,
08_39_30_0,2023-03-20_18-21-35_0,2023-03-20_18-42-12_0,2023-03-20_18-55-28_0,,18_01_2023-11_56_02_6,,,18_01_2023-11_52_35_6,
08_39_30_1,2023-03-20_18-21-35_1,2023-03-20_18-42-12_1,2023-03-20_18-55-28_1,,18_01_2023-11_56_02_7,,,18_01_2023-11_52_35_7,
08_39_30_2,2023-03-20_18-21-35_2,2023-03-20_18-42-12_2,2023-03-20_18-55-28_2,,18_01_2023-11_56_02_8,,,18_01_2023-11_52_35_8,
08_39_30_3,2023-03-20_18-21-35_3,2023-03-20_18-42-12_3,2023-03-20_18-55-28_3,,18_01_2023-11_56_02_9,,,18_01_2023-11_52_35_9,
08_39_30_4,2023-03-20_18-21-35_4,2023-03-20_18-42-12_4,2023-03-20_18-55-28_4,,18_01_2023-11_56_06_0,,,18_01_2023-11_52_38_0,
08_39_30_5,2023-03-20_18-21-35_5,2023-03-20_18-42-12_5,2023-03-20_18-55-28_5,,18_01_2023-11_56_06_1,,,18_01_2023-11_52_38_1,
08_39_30_6,2023-03-20_18-21-35_6,2023-03-20_18-42-12_6,2023-03-20_18-55-28_6,,18_01_2023-11_56_06_2,,,18_01_2023-11_52_38_2,
08_39_30_7,2023-03-20_18-21-35_7,2023-03-20_18-42-12_7,2023-03-20_18-55-28_7,,18_01_2023-11_56_06_3,,,18_01_2023-11_52_38_3,
08_39_30_8,2023-03-20_18-21-35_8,2023-03-20_18-42-12_8,2023-03-20_18-55-28_8,,18_01_2023-11_56_06_4,,,18_01_2023-11_52_38_4,
08_39_31_0,2023-03-20_18-21-36_0,2023-03-20_18-42-13_0,2023-03-20_18-55-29_0,,18_01_2023-11_56_06_5,,,18_01_2023-11_52_38_5,
08_39_31_1,2023-03-20_18-21-36_1,2023-03-20_18-42-13_1,2023-03-20_18-55-29_1,,18_01_2023-11_56_06_6,,,18_01_2023-11_52_38_6,
08_39_31_2,2023-03-20_18-21-36_2,2023-03-20_18-42-13_2,2023-03-20_18-55-29_2,,18_01_2023-11_56_06_7,,,18_01_2023-11_52_38_7,
08_39_31_3,2023-03-20_18-21-36_3,2023-03-20_18-42-13_3,2023-03-20_18-55-29_3,,18_01_2023-11_56_06_8,,,18_01_2023-11_52_38_8,
08_39_31_4,2023-03-20_18-21-36_4,2023-03-20_18-42-13_4,2023-03-20_18-55-29_4,,18_01_2023-11_56_06_9,,,18_01_2023-11_52_38_9,
08_39_31_5,2023-03-20_18-21-36_5,2023-03-20_18-42-13_5,2023-03-20_18-55-29_5,,18_01_2023-11_56_09_0,,,18_01_2023-11_52_42_0,
08_39_31_6,2023-03-20_18-21-36_6,2023-03-20_18-42-13_6,2023-03-20_18-55-29_6,,18_01_2023-11_56_09_1,,,18_01_2023-11_52_42_1,
08_39_31_7,2023-03-20_18-21-36_7,2023-03-20_18-42-13_7,2023-03-20_18-55-29_7,,18_01_2023-11_56_09_2,,,18_01_2023-11_52_42_2,
08_39_31_8,2023-03-20_18-21-36_8,2023-03-20_18-42-13_8,2023-03-20_18-55-29_8,,18_01_2023-11_56_09_3,,,18_01_2023-11_52_42_3,
08_39_32_0,2023-03-20_18-21-37_0,2023-03-20_18-42-14_0,2023-03-20_18-55-30_0,,18_01_2023-11_56_09_4,,,18_01_2023-11_52_42_4,
08_39_32_1,2023-03-20_18-21-37_1,2023-03-20_18-42-14_1,2023-03-20_18-55-30_1,,18_01_2023-11_56_09_5,,,18_01_2023-11_52_42_5,
08_39_32_2,2023-03-20_18-21-37_2,2023-03-20_18-42-14_2,2023-03-20_18-55-30_2,,18_01_2023-11_56_09_6,,,18_01_2023-11_52_42_6,
08_39_32_3,2023-03-20_18-21-37_3,2023-03-20_18-42-14_3,2023-03-20_18-55-30_3,,18_01_2023-11_56_09_7,,,18_01_2023-11_52_42_7,
08_39_32_4,2023-03-20_18-21-37_4,2023-03-20_18-42-14_4,2023-03-20_18-55-30_4,,18_01_2023-11_56_09_8,,,18_01_2023-11_52_42_8,
08_39_32_5,2023-03-20_18-21-37_5,2023-03-20_18-42-14_5,2023-03-20_18-55-30_5,,18_01_2023-11_56_09_9,,,18_01_2023-11_52_42_9,
08_39_32_6,2023-03-20_18-21-37_6,2023-03-20_18-42-14_6,2023-03-20_18-55-30_6,,18_01_2023-11_56_12_0,,,18_01_2023-11_52_45_0,
08_39_32_7,2023-03-20_18-21-37_7,2023-03-20_18-42-14_7,2023-03-20_18-55-30_7,,18_01_2023-11_56_12_1,,,18_01_2023-11_52_45_1,
08_39_32_8,2023-03-20_18-21-37_8,2023-03-20_18-42-14_8,2023-03-20_18-55-30_8,,18_01_2023-11_56_12_2,,,18_01_2023-11_52_45_2,
08_39_33_0,2023-03-20_18-21-38_0,2023-03-20_18-42-15_0,2023-03-20_18-55-31_0,,18_01_2023-11_56_12_3,,,18_01_2023-11_52_45_3,
08_39_33_1,2023-03-20_18-21-38_1,2023-03-20_18-42-15_1,2023-03-20_18-55-31_1,,18_01_2023-11_56_12_4,,,18_01_2023-11_52_45_4,
08_39_33_2,2023-03-20_18-21-38_2,2023-03-20_18-42-15_2,2023-03-20_18-55-31_2,,18_01_2023-11_56_12_5,,,18_01_2023-11_52_45_5,
08_39_33_3,2023-03-20_18-21-38_3,2023-03-20_18-42-15_3,2023-03-20_18-55-31_3,,18_01_2023-11_56_12_6,,,18_01_2023-11_52_45_6,
08_39_33_4,2023-03-20_18-21-38_4,2023-03-20_18-42-15_4,2023-03-20_18-55-31_4,,18_01_2023-11_56_12_7,,,18_01_2023-11_52_45_7,
08_39_33_5,2023-03-20_18-21-38_5,2023-03-20_18-42-15_5,2023-03-20_18-55-31_5,,18_01_2023-11_56_12_8,,,18_01_2023-11_52_45_8,
08_39_33_6,2023-03-20_18-21-38_6,2023-03-20_18-42-15_6,2023-03-20_18-55-31_6,,18_01_2023-11_56_12_9,,,18_01_2023-11_52_45_9,
08_39_33_7,2023-03-20_18-21-38_7,2023-03-20_18-42-15_7,2023-03-20_18-55-31_7,,,,,,
08_39_33_8,2023-03-20_18-21-38_8,2023-03-20_18-42-15_8,2023-03-20_18-55-31_8,,,,,,
08_39_34_0,2023-03-20_18-21-39_0,2023-03-20_18-42-16_0,2023-03-20_18-55-32_0,,,,,,
08_39_34_1,2023-03-20_18-21-39_1,2023-03-20_18-42-16_1,2023-03-20_18-55-32_1,,,,,,
08_39_34_2,2023-03-20_18-21-39_2,2023-03-20_18-42-16_2,2023-03-20_18-55-32_2,,,,,,
08_39_34_3,2023-03-20_18-21-39_3,2023-03-20_18-42-16_3,2023-03-20_18-55-32_3,,,,,,
08_39_34_4,2023-03-20_18-21-39_4,2023-03-20_18-42-16_4,2023-03-20_18-55-32_4,,,,,,
08_39_34_5,2023-03-20_18-21-39_5,2023-03-20_18-42-16_5,2023-03-20_18-55-32_5,,,,,,
08_39_34_6,2023-03-20_18-21-39_6,2023-03-20_18-42-16_6,2023-03-20_18-55-32_6,,,,,,
08_39_34_7,2023-03-20_18-21-39_7,2023-03-20_18-42-16_7,2023-03-20_18-55-32_7,,,,,,
08_39_34_8,2023-03-20_18-21-39_8,2023-03-20_18-42-16_8,2023-03-20_18-55-32_8,,,,,,
08_39_35_0,2023-03-20_18-21-40_0,2023-03-20_18-42-17_0,2023-03-20_18-55-33_0,,,,,,
08_39_35_1,2023-03-20_18-21-40_1,2023-03-20_18-42-17_1,2023-03-20_18-55-33_1,,,,,,
08_39_35_2,2023-03-20_18-21-40_2,2023-03-20_18-42-17_2,2023-03-20_18-55-33_2,,,,,,
08_39_35_3,2023-03-20_18-21-40_3,2023-03-20_18-42-17_3,2023-03-20_18-55-33_3,,,,,,
08_39_35_4,2023-03-20_18-21-40_4,2023-03-20_18-42-17_4,2023-03-20_18-55-33_4,,,,,,
08_39_35_5,2023-03-20_18-21-40_5,2023-03-20_18-42-17_5,2023-03-20_18-55-33_5,,,,,,
08_39_35_6,2023-03-20_18-21-40_6,2023-03-20_18-42-17_6,2023-03-20_18-55-33_6,,,,,,
08_39_35_7,2023-03-20_18-21-40_7,2023-03-20_18-42-17_7,2023-03-20_18-55-33_7,,,,,,
08_39_35_8,2023-03-20_18-21-40_8,2023-03-20_18-42-17_8,2023-03-20_18-55-33_8,,,,,,
08_39_36_0,2023-03-20_18-21-42_0,2023-03-20_18-42-18_0,2023-03-20_18-55-34_0,,,,,,
08_39_36_1,2023-03-20_18-21-42_1,2023-03-20_18-42-18_1,2023-03-20_18-55-34_1,,,,,,
08_39_36_2,2023-03-20_18-21-42_2,2023-03-20_18-42-18_2,2023-03-20_18-55-34_2,,,,,,
08_39_36_3,2023-03-20_18-21-42_3,2023-03-20_18-42-18_3,2023-03-20_18-55-34_3,,,,,,
08_39_36_4,2023-03-20_18-21-42_4,2023-03-20_18-42-18_4,2023-03-20_18-55-34_4,,,,,,
08_39_36_5,2023-03-20_18-21-42_5,2023-03-20_18-42-18_5,2023-03-20_18-55-34_5,,,,,,
08_39_36_6,2023-03-20_18-21-42_6,2023-03-20_18-42-18_6,2023-03-20_18-55-34_6,,,,,,
08_39_36_7,2023-03-20_18-21-42_7,2023-03-20_18-42-18_7,2023-03-20_18-55-34_7,,,,,,
08_39_36_8,2023-03-20_18-21-42_8,2023-03-20_18-42-18_8,2023-03-20_18-55-34_8,,,,,,
08_39_37_0,2023-03-20_18-21-43_0,2023-03-20_18-42-19_0,2023-03-20_18-55-35_0,,,,,,
08_39_37_1,2023-03-20_18-21-43_1,2023-03-20_18-42-19_1,2023-03-20_18-55-35_1,,,,,,
08_39_37_2,2023-03-20_18-21-43_2,2023-03-20_18-42-19_2,2023-03-20_18-55-35_2,,,,,,
08_39_37_3,2023-03-20_18-21-43_3,2023-03-20_18-42-19_3,2023-03-20_18-55-35_3,,,,,,
08_39_37_4,2023-03-20_18-21-43_4,2023-03-20_18-42-19_4,2023-03-20_18-55-35_4,,,,,,
08_39_37_5,2023-03-20_18-21-43_5,2023-03-20_18-42-19_5,2023-03-20_18-55-35_5,,,,,,
08_39_37_6,2023-03-20_18-21-43_6,2023-03-20_18-42-19_6,2023-03-20_18-55-35_6,,,,,,
08_39_37_7,2023-03-20_18-21-43_7,2023-03-20_18-42-19_7,2023-03-20_18-55-35_7,,,,,,
08_39_37_8,2023-03-20_18-21-43_8,2023-03-20_18-42-19_8,2023-03-20_18-55-35_8,,,,,,
08_39_38_0,2023-03-20_18-21-44_0,2023-03-20_18-42-20_0,2023-03-20_18-55-36_0,,,,,,
08_39_38_1,2023-03-20_18-21-44_1,2023-03-20_18-42-20_1,2023-03-20_18-55-36_1,,,,,,
08_39_38_2,2023-03-20_18-21-44_2,2023-03-20_18-42-20_2,2023-03-20_18-55-36_2,,,,,,
08_39_38_3,2023-03-20_18-21-44_3,2023-03-20_18-42-20_3,2023-03-20_18-55-36_3,,,,,,
08_39_38_4,2023-03-20_18-21-44_4,2023-03-20_18-42-20_4,2023-03-20_18-55-36_4,,,,,,
08_39_38_5,2023-03-20_18-21-44_5,2023-03-20_18-42-20_5,2023-03-20_18-55-36_5,,,,,,
08_39_38_6,2023-03-20_18-21-44_6,2023-03-20_18-42-20_6,2023-03-20_18-55-36_6,,,,,,
08_39_38_7,2023-03-20_18-21-44_7,2023-03-20_18-42-20_7,2023-03-20_18-55-36_7,,,,,,
08_39_38_8,2023-03-20_18-21-44_8,2023-03-20_18-42-20_8,2023-03-20_18-55-36_8,,,,,,
08_39_39_0,2023-03-20_18-21-45_0,2023-03-20_18-42-21_0,2023-03-20_18-55-37_0,,,,,,
08_39_39_1,2023-03-20_18-21-45_1,2023-03-20_18-42-21_1,2023-03-20_18-55-37_1,,,,,,
08_39_39_2,2023-03-20_18-21-45_2,2023-03-20_18-42-21_2,2023-03-20_18-55-37_2,,,,,,
08_39_39_3,2023-03-20_18-21-45_3,2023-03-20_18-42-21_3,2023-03-20_18-55-37_3,,,,,,
08_39_39_4,2023-03-20_18-21-45_4,2023-03-20_18-42-21_4,2023-03-20_18-55-37_4,,,,,,
08_39_39_5,2023-03-20_18-21-45_5,2023-03-20_18-42-21_5,2023-03-20_18-55-37_5,,,,,,
08_39_39_6,2023-03-20_18-21-45_6,2023-03-20_18-42-21_6,2023-03-20_18-55-37_6,,,,,,
08_39_39_7,2023-03-20_18-21-45_7,2023-03-20_18-42-21_7,2023-03-20_18-55-37_7,,,,,,
08_39_39_8,2023-03-20_18-21-45_8,2023-03-20_18-42-21_8,2023-03-20_18-55-37_8,,,,,,
08_39_40_0,2023-03-20_18-21-46_0,2023-03-20_18-42-22_0,2023-03-20_18-55-38_0,,,,,,
08_39_40_1,2023-03-20_18-21-46_1,2023-03-20_18-42-22_1,2023-03-20_18-55-38_1,,,,,,
08_39_40_2,2023-03-20_18-21-46_2,2023-03-20_18-42-22_2,2023-03-20_18-55-38_2,,,,,,
08_39_40_3,2023-03-20_18-21-46_3,2023-03-20_18-42-22_3,2023-03-20_18-55-38_3,,,,,,
08_39_40_4,2023-03-20_18-21-46_4,2023-03-20_18-42-22_4,2023-03-20_18-55-38_4,,,,,,
08_39_40_5,2023-03-20_18-21-46_5,2023-03-20_18-42-22_5,2023-03-20_18-55-38_5,,,,,,
08_39_40_6,2023-03-20_18-21-46_6,2023-03-20_18-42-22_6,2023-03-20_18-55-38_6,,,,,,
08_39_40_7,2023-03-20_18-21-46_7,2023-03-20_18-42-22_7,2023-03-20_18-55-38_7,,,,,,
08_39_40_8,2023-03-20_18-21-46_8,2023-03-20_18-42-22_8,2023-03-20_18-55-38_8,,,,,,
08_39_41_0,2023-03-20_18-21-47_0,2023-03-20_18-42-23_0,2023-03-20_18-55-39_0,,,,,,
08_39_41_1,2023-03-20_18-21-47_1,2023-03-20_18-42-23_1,2023-03-20_18-55-39_1,,,,,,
08_39_41_2,2023-03-20_18-21-47_2,2023-03-20_18-42-23_2,2023-03-20_18-55-39_2,,,,,,
08_39_41_3,2023-03-20_18-21-47_3,2023-03-20_18-42-23_3,2023-03-20_18-55-39_3,,,,,,
08_39_41_4,2023-03-20_18-21-47_4,2023-03-20_18-42-23_4,2023-03-20_18-55-39_4,,,,,,
08_39_41_5,2023-03-20_18-21-47_5,2023-03-20_18-42-23_5,2023-03-20_18-55-39_5,,,,,,
08_39_41_6,2023-03-20_18-21-47_6,2023-03-20_18-42-23_6,2023-03-20_18-55-39_6,,,,,,
08_39_41_7,2023-03-20_18-21-47_7,2023-03-20_18-42-23_7,2023-03-20_18-55-39_7,,,,,,
08_39_41_8,2023-03-20_18-21-47_8,2023-03-20_18-42-23_8,2023-03-20_18-55-39_8,,,,,,
08_39_42_0,2023-03-20_18-21-48_0,2023-03-20_18-42-24_0,2023-03-20_18-55-40_0,,,,,,
08_39_42_1,2023-03-20_18-21-48_1,2023-03-20_18-42-24_1,2023-03-20_18-55-40_1,,,,,,
08_39_42_2,2023-03-20_18-21-48_2,2023-03-20_18-42-24_2,2023-03-20_18-55-40_2,,,,,,
08_39_42_3,2023-03-20_18-21-48_3,2023-03-20_18-42-24_3,2023-03-20_18-55-40_3,,,,,,
08_39_42_4,2023-03-20_18-21-48_4,2023-03-20_18-42-24_4,2023-03-20_18-55-40_4,,,,,,
08_39_42_5,2023-03-20_18-21-48_5,2023-03-20_18-42-24_5,2023-03-20_18-55-40_5,,,,,,
08_39_42_6,2023-03-20_18-21-48_6,2023-03-20_18-42-24_6,2023-03-20_18-55-40_6,,,,,,
08_39_42_7,2023-03-20_18-21-48_7,2023-03-20_18-42-24_7,2023-03-20_18-55-40_7,,,,,,
08_39_42_8,2023-03-20_18-21-48_8,2023-03-20_18-42-24_8,2023-03-20_18-55-40_8,,,,,,
08_39_43_0,2023-03-20_18-21-49_0,2023-03-20_18-42-25_0,2023-03-20_18-55-41_0,,,,,,
08_39_43_1,2023-03-20_18-21-49_1,2023-03-20_18-42-25_1,2023-03-20_18-55-41_1,,,,,,
08_39_43_2,2023-03-20_18-21-49_2,2023-03-20_18-42-25_2,2023-03-20_18-55-41_2,,,,,,
08_39_43_3,2023-03-20_18-21-49_3,2023-03-20_18-42-25_3,2023-03-20_18-55-41_3,,,,,,
08_39_43_4,2023-03-20_18-21-49_4,2023-03-20_18-42-25_4,2023-03-20_18-55-41_4,,,,,,
08_39_43_5,2023-03-20_18-21-49_5,2023-03-20_18-42-25_5,2023-03-20_18-55-41_5,,,,,,
08_39_43_6,2023-03-20_18-21-49_6,2023-03-20_18-42-25_6,2023-03-20_18-55-41_6,,,,,,
08_39_43_7,2023-03-20_18-21-49_7,2023-03-20_18-42-25_7,2023-03-20_18-55-41_7,,,,,,
08_39_43_8,2023-03-20_18-21-49_8,2023-03-20_18-42-25_8,2023-03-20_18-55-41_8,,,,,,
08_39_44_0,2023-03-20_18-21-50_0,2023-03-20_18-42-26_0,2023-03-20_18-55-42_0,,,,,,
08_39_44_1,2023-03-20_18-21-50_1,2023-03-20_18-42-26_1,2023-03-20_18-55-42_1,,,,,,
08_39_44_2,2023-03-20_18-21-50_2,2023-03-20_18-42-26_2,2023-03-20_18-55-42_2,,,,,,
08_39_44_3,2023-03-20_18-21-50_3,2023-03-20_18-42-26_3,2023-03-20_18-55-42_3,,,,,,
08_39_44_4,2023-03-20_18-21-50_4,2023-03-20_18-42-26_4,2023-03-20_18-55-42_4,,,,,,
08_39_44_5,2023-03-20_18-21-50_5,2023-03-20_18-42-26_5,2023-03-20_18-55-42_5,,,,,,
08_39_44_6,2023-03-20_18-21-50_6,2023-03-20_18-42-26_6,2023-03-20_18-55-42_6,,,,,,
08_39_44_7,2023-03-20_18-21-50_7,2023-03-20_18-42-26_7,2023-03-20_18-55-42_7,,,,,,
08_39_44_8,2023-03-20_18-21-50_8,2023-03-20_18-42-26_8,2023-03-20_18-55-42_8,,,,,,
08_39_45_0,2023-03-20_18-21-51_0,2023-03-20_18-42-27_0,2023-03-20_18-55-43_0,,,,,,
08_39_45_1,2023-03-20_18-21-51_1,2023-03-20_18-42-27_1,2023-03-20_18-55-43_1,,,,,,
08_39_45_2,2023-03-20_18-21-51_2,2023-03-20_18-42-27_2,2023-03-20_18-55-43_2,,,,,,
08_39_45_3,2023-03-20_18-21-51_3,2023-03-20_18-42-27_3,2023-03-20_18-55-43_3,,,,,,
08_39_45_4,2023-03-20_18-21-51_4,2023-03-20_18-42-27_4,2023-03-20_18-55-43_4,,,,,,
08_39_45_5,2023-03-20_18-21-51_5,2023-03-20_18-42-27_5,2023-03-20_18-55-43_5,,,,,,
08_39_45_6,2023-03-20_18-21-51_6,2023-03-20_18-42-27_6,2023-03-20_18-55-43_6,,,,,,
08_39_45_7,2023-03-20_18-21-51_7,2023-03-20_18-42-27_7,2023-03-20_18-55-43_7,,,,,,
08_39_45_8,2023-03-20_18-21-51_8,2023-03-20_18-42-27_8,2023-03-20_18-55-43_8,,,,,,
08_39_46_0,2023-03-20_18-21-52_0,2023-03-20_18-42-28_0,2023-03-20_18-55-44_0,,,,,,
08_39_46_1,2023-03-20_18-21-52_1,2023-03-20_18-42-28_1,2023-03-20_18-55-44_1,,,,,,
08_39_46_2,2023-03-20_18-21-52_2,2023-03-20_18-42-28_2,2023-03-20_18-55-44_2,,,,,,
08_39_46_3,2023-03-20_18-21-52_3,2023-03-20_18-42-28_3,2023-03-20_18-55-44_3,,,,,,
08_39_46_4,2023-03-20_18-21-52_4,2023-03-20_18-42-28_4,2023-03-20_18-55-44_4,,,,,,
08_39_46_5,2023-03-20_18-21-52_5,2023-03-20_18-42-28_5,2023-03-20_18-55-44_5,,,,,,
08_39_46_6,2023-03-20_18-21-52_6,2023-03-20_18-42-28_6,2023-03-20_18-55-44_6,,,,,,
08_39_46_7,2023-03-20_18-21-52_7,2023-03-20_18-42-28_7,2023-03-20_18-55-44_7,,,,,,
08_39_46_8,2023-03-20_18-21-52_8,2023-03-20_18-42-28_8,2023-03-20_18-55-44_8,,,,,,
08_39_47_0,2023-03-20_18-21-53_0,2023-03-20_18-42-29_0,2023-03-20_18-55-45_0,,,,,,
08_39_47_1,2023-03-20_18-21-53_1,2023-03-20_18-42-29_1,2023-03-20_18-55-45_1,,,,,,
08_39_47_2,2023-03-20_18-21-53_2,2023-03-20_18-42-29_2,2023-03-20_18-55-45_2,,,,,,
08_39_47_3,2023-03-20_18-21-53_3,2023-03-20_18-42-29_3,2023-03-20_18-55-45_3,,,,,,
08_39_47_4,2023-03-20_18-21-53_4,2023-03-20_18-42-29_4,2023-03-20_18-55-45_4,,,,,,
08_39_47_5,2023-03-20_18-21-53_5,2023-03-20_18-42-29_5,2023-03-20_18-55-45_5,,,,,,
08_39_47_6,2023-03-20_18-21-53_6,2023-03-20_18-42-29_6,2023-03-20_18-55-45_6,,,,,,
08_39_47_7,2023-03-20_18-21-53_7,2023-03-20_18-42-29_7,2023-03-20_18-55-45_7,,,,,,
08_39_47_8,2023-03-20_18-21-53_8,2023-03-20_18-42-29_8,2023-03-20_18-55-45_8,,,,,,
08_39_48_0,2023-03-20_18-21-54_0,2023-03-20_18-42-30_0,2023-03-20_18-55-46_0,,,,,,
08_39_48_1,2023-03-20_18-21-54_1,2023-03-20_18-42-30_1,2023-03-20_18-55-46_1,,,,,,
08_39_48_2,2023-03-20_18-21-54_2,2023-03-20_18-42-30_2,2023-03-20_18-55-46_2,,,,,,
08_39_48_3,2023-03-20_18-21-54_3,2023-03-20_18-42-30_3,2023-03-20_18-55-46_3,,,,,,
08_39_48_4,2023-03-20_18-21-54_4,2023-03-20_18-42-30_4,2023-03-20_18-55-46_4,,,,,,
08_39_48_5,2023-03-20_18-21-54_5,2023-03-20_18-42-30_5,2023-03-20_18-55-46_5,,,,,,
08_39_48_6,2023-03-20_18-21-54_6,2023-03-20_18-42-30_6,2023-03-20_18-55-46_6,,,,,,
08_39_48_7,2023-03-20_18-21-54_7,2023-03-20_18-42-30_7,2023-03-20_18-55-46_7,,,,,,
08_39_48_8,2023-03-20_18-21-54_8,2023-03-20_18-42-30_8,2023-03-20_18-55-46_8,,,,,,
08_39_49_0,2023-03-20_18-21-55_0,2023-03-20_18-42-31_0,2023-03-20_18-55-47_0,,,,,,
08_39_49_1,2023-03-20_18-21-55_1,2023-03-20_18-42-31_1,2023-03-20_18-55-47_1,,,,,,
08_39_49_2,2023-03-20_18-21-55_2,2023-03-20_18-42-31_2,2023-03-20_18-55-47_2,,,,,,
08_39_49_3,2023-03-20_18-21-55_3,2023-03-20_18-42-31_3,2023-03-20_18-55-47_3,,,,,,
08_39_49_4,2023-03-20_18-21-55_4,2023-03-20_18-42-31_4,2023-03-20_18-55-47_4,,,,,,
08_39_49_5,2023-03-20_18-21-55_5,2023-03-20_18-42-31_5,2023-03-20_18-55-47_5,,,,,,
08_39_49_6,2023-03-20_18-21-55_6,2023-03-20_18-42-31_6,2023-03-20_18-55-47_6,,,,,,
08_39_49_7,2023-03-20_18-21-55_7,2023-03-20_18-42-31_7,2023-03-20_18-55-47_7,,,,,,
08_39_49_8,2023-03-20_18-21-55_8,2023-03-20_18-42-31_8,2023-03-20_18-55-47_8,,,,,,
08_39_50_0,2023-03-20_18-21-56_0,2023-03-20_18-42-32_0,2023-03-20_18-55-48_0,,,,,,
08_39_50_1,2023-03-20_18-21-56_1,2023-03-20_18-42-32_1,2023-03-20_18-55-48_1,,,,,,
08_39_50_2,2023-03-20_18-21-56_2,2023-03-20_18-42-32_2,2023-03-20_18-55-48_2,,,,,,
08_39_50_3,2023-03-20_18-21-56_3,2023-03-20_18-42-32_3,2023-03-20_18-55-48_3,,,,,,
08_39_50_4,2023-03-20_18-21-56_4,2023-03-20_18-42-32_4,2023-03-20_18-55-48_4,,,,,,
08_39_50_5,2023-03-20_18-21-56_5,2023-03-20_18-42-32_5,2023-03-20_18-55-48_5,,,,,,
08_39_50_6,2023-03-20_18-21-56_6,2023-03-20_18-42-32_6,2023-03-20_18-55-48_6,,,,,,
08_39_50_7,2023-03-20_18-21-56_7,2023-03-20_18-42-32_7,2023-03-20_18-55-48_7,,,,,,
08_39_50_8,2023-03-20_18-21-56_8,2023-03-20_18-42-32_8,2023-03-20_18-55-48_8,,,,,,
08_39_51_0,2023-03-20_18-21-57_0,2023-03-20_18-42-33_0,2023-03-20_18-55-49_0,,,,,,
08_39_51_1,2023-03-20_18-21-57_1,2023-03-20_18-42-33_1,2023-03-20_18-55-49_1,,,,,,
08_39_51_2,2023-03-20_18-21-57_2,2023-03-20_18-42-33_2,2023-03-20_18-55-49_2,,,,,,
08_39_51_3,2023-03-20_18-21-57_3,2023-03-20_18-42-33_3,2023-03-20_18-55-49_3,,,,,,
08_39_51_4,2023-03-20_18-21-57_4,2023-03-20_18-42-33_4,2023-03-20_18-55-49_4,,,,,,
08_39_51_5,2023-03-20_18-21-57_5,2023-03-20_18-42-33_5,2023-03-20_18-55-49_5,,,,,,
